IdTransaccion;Fecha;IdCategoria;IdProducto;Producto;Cantidad;PrecioUnitario;TotalVenta;Local
1;5/5/2024;1;1;Televisor;40;890;35600;Ambato
2;5/6/2024;2;2;Lavadora;2;1550;3100;Ambato
3;5/7/2024;1;3;Televisor 50;1;950;950;Ambato
4;5/8/2024;3;4;Refrigerador;1;2750;2750;Ambato
5;5/9/2024;2;5;Secadora;3;1200;3600;Ambato
6;5/10/2024;1;6;Smartphone;10;700;7000;Ambato
7;5/11/2024;3;7;Microondas;4;300;1200;Ambato
8;5/12/2024;1;8;Tablet;6;400;2400;Ambato
9;5/13/2024;2;9;Aspiradora;2;800;1600;Ambato
10;5/14/2024;1;10;Cámara digital;1;600;600;Ambato
11;5/15/2024;3;11;Licuadora;5;150;750;Ambato
12;5/16/2024;2;12;Cafetera;3;250;750;Ambato
13;5/17/2024;1;13;Monitor;2;300;600;Ambato
14;5/18/2024;3;14;Horno eléctrico;1;500;500;Ambato
15;5/19/2024;2;15;Plancha;4;100;400;Ambato
